productie_id,relatie,value
448736,titel,Geen voeten maar
448736,gezelschap_12173,Vanelle_373715
448736,coproducent_12174,Cultuurcentrum Merksem_371137
448736,concept & spel_11977,Nelle De Maeyer_1909946
448736,tekst_11631,Nelle De Maeyer_1909946
448736,tekst_11631,Riet Wille_1880200
448736,coaching_11746,Stefan Perceval_1888730
448736,premiere_datum,2011-09-24T00:00:00
448736,premiere_locatie,Cultuurcentrum Merksem_135037
448736,speelperiode,2011-2014
451020,titel,Het land Nod
451020,gezelschap_12173,FC Bergman_372075
451020,producent_12176,Toneelhuis_363214
451020,van en met_12014,Stef Aerts_1912081
451020,van en met_12014,Joé Agemans_1925683
451020,van en met_12014,Bart Hollanders_1924151
451020,van en met_12014,Matteo Simoni_1920330
451020,van en met_12014,Thomas Verstraeten_1923649
451020,van en met_12014,Marie Vinck_1898982
451020,premiere_datum,2015-08-11T00:00:00
451020,premiere_locatie,Maaspoort Sports & Events_139829
449330,speelperiode,2014-2017
438835,titel,Bezonken rood
438835,coproducent_12174,Het Toneelhuis_371481
438835,gezelschap_12173,Ro Theater_360934
438835,naar_11739,Jeroen Brouwers_1891302
438835,regie_11575,Guy Cassiers_1878246
438835,spel_12018,Dirk Roofthooft_1877812
438835,bewerking_11715,Guy Cassiers_1878246
438835,bewerking_11715,Corien Baart_1901663
438835,bewerking_11715,Dirk Roofthooft_1877812
438835,decorontwerp_11710,Peter Missotten_1884365
438835,video_11728,Peter Missotten_1884365
438835,lichtontwerp_11722,Peter Missotten_1884365
438835,geluidsontwerp_12119,Diederik De Cock_1897343
438835,kostuumontwerp_11711,Katelijne Damen_1879633
438835,video realisatie_11625,Arjen Klerkx_1914157
438835,dramaturgie_11543,Erwin Jans_1883376
438835,premiere_datum,2004-10-16T00:00:00
438835,premiere_locatie,Ro theater_135185
438835,speelperiode,2004-2017
451382,titel,De welwillenden
451382,producent_12176,Toneelhuis_363214
451382,gezelschap_12173,Toneelgroep Amsterdam_361154
451382,in samenwerking_12177,Le Phénix - Scène nationale de Valenciennes_369234
451382,in samenwerking_12177,Maison de la Culture d'Amiens_363752
451382,in samenwerking_12177,Festival Temporada Alta_370897
451382,in samenwerking_12177,International Istanbul Theatre Festival_370708
451382,in samenwerking_12177,RomaEuropa Festival_368993
451382,coproducent_12174,deSingel_363399
451382,regie_11575,Guy Cassiers_1878246
451382,bewerking_11715,Bart Meuleman_1884995
451382,met_11741,Kevin Janssens_1908401
451382,met_11741,Johan Van Assche_1878439
451382,met_11741,Bart Slegers_1878696
451382,met_11741,Alwin Pulinckx_1903202
451382,tekst_11631,Jonathan Littell_1926859
451382,dramaturgie_11543,Erwin Jans_1883376
451382,met_11741,Katelijne Damen_1879633
451382,met_11741,Abke Haring_1902344
451382,met_11741,Hans Kesting_1895922
451382,met_11741,Jip van den Dool_1935040
451382,met_11741,Aus Greidanus jr._1900957
451382,premiere_datum,2016-03-10T00:00:00
451382,premiere_locatie,Bourla_131533
451382,speelperiode,2015-2017
440557,titel,Deurdedeurdeur
440557,gezelschap_12173,SKaGeN_369117
440557,van_11995,Barbara De Laere_1918805
440557,van_11995,Ryszard Turbiasz_1879577
440557,van_11995,Charlotte Vandermeersch_1905261
440557,van_11995,Kristof Morel_1891137
440557,van_11995,Jeroen Wuyts_1900867
440557,acteur_11571,Geert De Vleesschauwer_1919298
440557,acteur_11571,Sofie Palmers_1902891
440557,van_11995,Bruno Vanden Broecke_1899651
440557,naar_11739,Michael Frayn_1886093
440557,van_11995,Yves Degryse_1899648
440557,van_11995,Valentijn Dhaenens_1897665
440557,van_11995,Korneel Hamers_1899650
440557,van_11995,Mathijs Scheepers_1899649
440557,van_11995,Clara van den Broek_1897388
440557,van_11995,Wannes Deneer_1920700
440557,dramaturgie_11543,Eline Van Hoye_1911757
440557,premiere_datum,2008-03-07T00:00:00
440557,premiere_locatie,Beursschouwburg_130951
440557,speelperiode,2007-2009
440557,speelperiode,2014-2015
